alternate_positions,avatar_url,common_name,first_name,id,last_name,league_name,nationality_image_url,nationality_label,overall_rating,player_abilities_images,player_abilities_labels,position_short_label,preferred_foot,shield_url,skill_moves,stat_acceleration,stat_aggression,stat_agility,stat_balance,stat_ballControl,stat_composure,stat_crossing,stat_curve,stat_def,stat_defensiveAwareness,stat_dri,stat_dribbling,stat_finishing,stat_freeKickAccuracy,stat_gkDiving,stat_gkHandling,stat_gkKicking,stat_gkPositioning,stat_gkReflexes,stat_headingAccuracy,stat_interceptions,stat_jumping,stat_longPassing,stat_longShots,stat_pac,stat_pas,stat_penalties,stat_phy,stat_positioning,stat_reactions,stat_sho,stat_shortPassing,stat_shotPower,stat_slidingTackle,stat_sprintSpeed,stat_stamina,stat_standingTackle,stat_strength,stat_vision,stat_volleys,team_image_url,team_label,weak_foot
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p260616.webp,,Adam,260616,Saldaña,MLS,https://drop-assets.ea.com/images/7ZVadlJQIutRH5P85wr76/c2456a2d76146d19f98c2c3071136dcf/f_95.png,United States,61,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/260616_en.webp,3,55,67,75,71,60,62,42,56,59,60,61,58,42,48,14,5,11,8,13,46,55,56,60,54,54,56,42,65,58,56,48,61,55,60,54,61,64,67,59,38,https://drop-assets.ea.com/images/7HVxXj38u4xwAYPYjnYeBm/dd7c8333fd89f025a52fa53a96406475/l112996.png,LAFC,4
CB|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p265822.webp,,Ezequiel,265822,Herrera,LPF,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,61,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/265822_en.webp,2,72,42,65,63,56,54,56,47,60,63,57,55,35,34,10,6,8,6,7,54,60,75,44,36,71,49,38,67,56,59,39,47,49,58,70,60,58,79,52,30,https://drop-assets.ea.com/images/3KG1XvmWFfY1Xp5QJk34KJ/f9dc8f3b7f55053c525a4a44a0c4eb52/l1013.png,San Lorenzo,2
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p273984.webp,,Eduardo,273984,Bores,Libertadores,https://drop-assets.ea.com/images/1KXj3pySTA9J9K8w7167Qm/5b02c072a8dfb553cf7953a209998b03/f_61.png,Venezuela,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/273984_en.webp,1,32,38,47,56,24,35,21,21,35,18,63,18,15,24,63,61,60,61,63,22,17,52,30,16,63,60,22,61,18,48,61,34,45,23,40,35,21,52,33,15,https://drop-assets.ea.com/images/2bRD7I3bI9q8rDG0EYTV0a/e1b8b53575fe859eda055bd6fcc6486f/l112908.png,IDV,2
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p276332.webp,,Ryan,276332,De Havilland,EFL League One,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/276332_en.webp,2,61,59,59,71,60,60,49,43,59,58,59,58,44,38,10,8,6,7,8,54,57,66,58,46,56,56,39,68,42,58,45,64,50,58,52,67,62,73,55,37,https://drop-assets.ea.com/images/7SATDSx19Og4re9mLkLxL/11129628077d3e05ab6ffd39f3789f86/l1938.png,Peterborough,2
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p278582.webp,,Isak,278582,Brusberg,Allsvenskan,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,Sweden,61,,,RW,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/278582_en.webp,3,58,55,64,56,63,52,58,34,44,22,61,61,60,45,9,12,6,11,5,59,54,65,59,58,60,59,55,63,59,59,56,62,48,35,61,59,56,68,63,40,https://drop-assets.ea.com/images/7AY55zmb8J1HxePmSrReax/647d26829247d5030298356968662d4b/l711.png,BK Häcken,3
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p70676.webp,,Nicolás,70676,Dubersarsky,MLS,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/70676_en.webp,2,64,67,55,54,66,49,49,48,52,48,62,63,35,43,11,9,8,6,15,55,49,66,68,43,59,60,48,65,59,61,44,70,61,56,55,58,57,68,55,48,https://drop-assets.ea.com/images/5iMrok4c9RiWrTJSYAOaku/5abef45ebc1d3e6e1c0c9885e402acf1/l114161.png,Austin FC,3
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p77603.webp,,Carlos,77603,Gómez,Libertadores,https://drop-assets.ea.com/images/ozuqUGnYf4veYiw28msYj/f06778b0672274204bf56b6091d73c1b/f_59.png,Peru,61,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/77603_en.webp,2,67,60,60,58,61,54,53,57,59,61,60,60,41,33,15,10,6,9,7,57,58,63,60,32,66,55,41,60,58,59,42,62,53,54,66,63,60,58,48,34,https://drop-assets.ea.com/images/30o5iCBBTl4nFDKPyMhrJf/f371b16b0cb3cc1b592eb99865151aa3/l111010.png,Alianza Lima,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p80094.webp,,Taisei,80094,Abe,Brack Super League,https://drop-assets.ea.com/images/1aoxCwnRS4A6LGlyhrUllt/b5b0cd61a299b9996821c16cc324cc3b/f_163.png,Japan,61,,,CDM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/80094_en.webp,2,60,60,67,73,60,58,45,42,58,54,59,56,38,48,10,6,7,6,11,46,61,47,60,64,64,55,40,56,53,60,50,58,63,58,67,70,64,49,59,49,https://drop-assets.ea.com/images/piGUNzgSoQ3OMqxeGH3Ps/02c80916fdcd0aeeb7ba4499d541b0cd/l897.png,FC Luzern,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p183244.webp,,Andrew,183244,Redmayne,A-League,https://drop-assets.ea.com/images/1z4BxEaFLZ7lgOP3T5RVqv/99256126771f079224aadffd2f61ad94/f_195.png,Australia,61,https://drop-assets.ea.com/images/3CjCz29sjIt1xMZTRDi4vQ/8ecb201b0ae7d6d536d03c847a768ffa/Far_Throw.png|https://drop-assets.ea.com/images/1s2muXoHUmP1T0vGYKXSl1/6d265b13804069371f16a58788703a33/Footwork.png|https://drop-assets.ea.com/images/4Uvgm6UNiSz3say1zZqKDC/51837f53072d5e01063699f6d2b7401a/Cross_Claimer.png,Far Throw|Footwork|Cross Claimer,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/183244_en.webp,1,40,26,40,21,20,47,17,12,41,12,60,12,11,14,59,60,62,60,60,13,19,60,20,14,59,62,20,60,7,60,60,21,47,12,43,34,15,69,35,15,https://drop-assets.ea.com/images/3N0yryiXeNaVBVB09VbbAi/857a9106836a19defa4ca97eeb95d402/l111396.png,Central Coast,2
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p211053.webp,,Lucas,211053,Hägg Johansson,Allsvenskan,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,Sweden,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/211053_en.webp,1,35,23,37,33,23,46,20,13,38,21,61,17,17,15,62,61,60,60,61,20,24,55,22,12,62,60,22,60,13,55,61,28,45,14,42,25,20,55,42,11,https://drop-assets.ea.com/images/2WJ0zQLfEbGtg0D0uitwee/301bcbd249aa1656c1fd02c53ab7c22f/l700.png,IF Elfsborg,3
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p242661.webp,,Haroune,242661,Camara,ROSHN Saudi League,https://drop-assets.ea.com/images/5z1KkeGbKQO9YFi6rdpu1i/e22181e422e56b017fe7e84bfcf088c6/f_183.png,Saudi Arabia,61,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/242661_en.webp,3,86,42,71,67,53,49,42,54,21,15,59,61,62,45,5,14,6,10,15,53,23,83,42,53,83,50,58,70,61,57,59,54,58,11,80,68,18,81,55,52,https://drop-assets.ea.com/images/6oPkjdKPFc4aHfFp7UGXB7/262e529bd81a51c0b5f317e61b3f5985/l112139.png,Al Nassr,3
CM|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p261876.webp,,Conan,261876,Noonan,SSE Airtricity PD,https://drop-assets.ea.com/images/3kYEdtacSx6YJO1G3LJIGw/72d622eb085aecaa6ecfa86c30bc3015/f_25.png,Republic of Ireland,61,,,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/261876_en.webp,3,66,39,66,58,61,51,62,57,50,52,61,62,55,62,12,10,9,6,11,51,48,54,61,53,65,62,49,51,59,53,53,63,52,44,64,63,50,50,64,40,https://drop-assets.ea.com/images/2qVLWMkIJtGyU6e8IFvhc6/ebbf356a570f14b1390dcf81ef1b7697/l753.png,Waterford,4
ST|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p269994.webp,,Marcel,269994,Wenig,3. Liga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,61,,,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/269994_en.webp,3,60,47,65,53,64,59,53,59,44,48,61,61,57,53,7,8,14,14,5,52,29,59,64,58,62,62,57,55,56,52,58,68,60,45,64,51,47,60,62,55,https://drop-assets.ea.com/images/2WYW8ycwWAwyVZAjGSHvje/ee478a10507bf0f77b592d52117854b6/l110176.png,SSV Ulm 1846,3
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p279078.webp,,Othmane,279078,Maamma,EFL Championship,https://drop-assets.ea.com/images/47SGeQ7STCrJZQSKOVJaHA/1aa24a57a60f85051e34a5ad8205771d/f_129.png,Morocco,61,,,RM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/279078_en.webp,3,68,36,77,63,68,60,52,51,29,24,67,66,59,39,8,6,12,12,6,56,26,74,46,54,71,53,55,65,56,51,57,58,61,23,73,59,29,79,53,46,https://drop-assets.ea.com/images/2MxNfPhOs9sFL7KH8k5Pcd/1be0302e620f2da1b08f09fa9c7bcc64/l1795.png,Watford,3
LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p72964.webp,,Vitalie,72964,Becker,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,61,,,LB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/72964_en.webp,2,63,71,71,61,58,52,67,63,58,56,61,63,41,50,12,13,9,9,11,50,57,57,57,46,61,59,35,58,51,56,44,60,53,62,60,54,61,55,52,35,https://drop-assets.ea.com/images/5EKirX0RaDRkEm6Ye2TZPJ/36e510bb520335208b13ffd3c9ba1220/l34.png,FC Schalke 04,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74477.webp,,Théo,74477,Chennahi,Ligue 2 BKT,https://drop-assets.ea.com/images/3ECAQzhfgSLWRf9IIHB6G8/7e235a7b2f93c1f73db7f89dc03b3657/f_18.png,France,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74477_en.webp,3,55,46,62,64,64,60,54,53,49,44,63,64,54,49,7,11,14,13,7,39,53,52,62,55,55,60,51,60,54,59,54,65,57,43,55,53,57,69,62,48,https://drop-assets.ea.com/images/2s81zEAC1P8205XDHZ2rKf/eec584c08f6be8db257d7012c1b6cfb0/l70.png,Montpellier,3
CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p221358.webp,,Jordan,221358,Rossiter,SSE Airtricity PD,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,,,CDM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/221358_en.webp,2,51,70,59,77,59,63,46,46,59,57,59,56,44,41,6,7,11,13,9,55,60,62,59,56,50,55,50,68,56,55,50,61,57,59,49,63,61,70,57,36,https://drop-assets.ea.com/images/2qVLWMkIJtGyU6e8IFvhc6/ebbf356a570f14b1390dcf81ef1b7697/l753.png,Waterford,3
LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p255415.webp,,Jason,255415,León,Sudamericana,https://drop-assets.ea.com/images/3oSt1AKWf8gJCT6jtMnZGJ/63a19100f7eb11e75ebaee5bbd04471c/f_55.png,Chile,61,,,LB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/255415_en.webp,2,74,49,72,79,63,54,62,46,56,63,62,60,42,33,11,13,13,6,7,40,63,43,61,45,72,60,51,46,60,53,45,62,50,51,70,57,51,40,63,34,https://drop-assets.ea.com/images/kTAkLi2IrwReSzeB4b3XH/dcdcb5013fdca1a2cce087d760f3abe4/l111328.png,Palestino,3
CB|CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p257873.webp,,Warren,257873,Burrell,EFL League Two,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,https://drop-assets.ea.com/images/7lHjpOBSghE6Ywt1jgVv1C/21f9914d00f073d79d4b46cac71b9087/Jockey.png|https://drop-assets.ea.com/images/2Rlftzr8lqUdI29suCQVWe/43c6c36e8bd5fa26b88478d4354611a2/Block.png,Jockey|Block,LB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257873_en.webp,2,66,65,64,68,55,54,53,48,58,57,55,52,34,42,6,14,8,14,9,58,58,79,51,37,67,52,47,71,51,56,38,53,42,58,67,74,58,72,51,36,https://drop-assets.ea.com/images/4BTB7QVt2PqcEaBlOwXxRn/2da5ee69898429eefe4935a7a15ba319/l112222.png,Harrogate Town,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p267874.webp,,George,267874,Marks,MLS,https://drop-assets.ea.com/images/7ZVadlJQIutRH5P85wr76/c2456a2d76146d19f98c2c3071136dcf/f_95.png,United States,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/267874_en.webp,1,27,25,36,43,19,21,14,14,27,8,61,14,5,14,62,64,64,63,61,13,13,52,28,9,62,64,16,63,8,40,64,15,48,12,28,34,14,59,30,7,https://drop-assets.ea.com/images/5okVfDvo8Vcgp5mqovBHJm/c286d0caa8776d5d9a6ff7b9f43a4c3d/l112134.png,Philadelphia,2
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p277343.webp,,Nathan,277343,Asiimwe,EFL League One,https://drop-assets.ea.com/images/2XfMX0E2wEWUVRLKY9QJXT/0265868c416aae3ccc0ab8174eae875f/f_146.png,Uganda,61,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/277343_en.webp,2,71,61,65,67,58,60,55,42,54,56,60,60,30,36,9,8,11,6,7,52,55,67,53,33,73,51,39,69,53,55,34,56,40,52,75,78,54,68,45,25,https://drop-assets.ea.com/images/4CSxEMexBLlrlRyI8uYbRF/959a98f960f44431bd38f2942e32b5ed/l112259.png,AFC Wimbledon,4
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p70436.webp,,Emir,70436,Kuhinja,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,61,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/70436_en.webp,2,70,48,65,68,58,55,38,57,35,35,59,57,65,38,5,12,10,11,12,57,35,66,47,57,76,50,57,59,59,57,61,57,60,29,80,63,29,61,54,60,https://drop-assets.ea.com/images/r8y1kfsEGix5QFM8dzrKo/650f9d82fa7b42ba04e94936547fa290/l110588.png,1. FC Magdeburg,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p70439.webp,,Mateo,70439,Morro,LPF,https://drop-assets.ea.com/images/4xMXjEt7CFJ6JENYeG45Sk/836d733dc1642c5e4ab3338d91481436/f_52.png,Argentina,61,,,GK,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/70439_en.webp,1,33,18,36,59,12,27,14,10,31,5,60,12,5,13,61,61,62,65,60,14,14,54,28,8,61,62,19,65,7,46,61,22,47,11,27,24,11,58,44,9,https://drop-assets.ea.com/images/1jWKtSnzOJLCUGQjgSw9B6/1c59266ca28d3abb505fb74ca58f12df/l110093.png,Independiente,2
CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74464.webp,,Florian,74464,Micheler,Bundesliga 2,https://drop-assets.ea.com/images/2nTz63NpDfuBGFbmXrDg0N/eaa6fc81bfd7bd77d76886d479841ebb/f_4.png,Austria,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74464_en.webp,2,61,49,61,60,70,60,55,61,46,49,67,68,50,49,13,8,15,11,12,49,23,55,70,49,58,63,56,54,52,58,52,71,59,55,55,49,55,59,56,58,https://drop-assets.ea.com/images/2gLhxSVTf7A6qftdVu2xhH/5b1da3466b0e54cb6d6c285c50a817c8/l159.png,Arminia Bielefeld,3
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p74533.webp,,Matteo,74533,Cichella,Serie BKT,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/74533_en.webp,2,63,52,60,72,64,54,44,53,53,48,62,61,54,39,12,12,6,10,13,48,58,52,63,51,59,58,40,57,54,59,51,64,53,51,56,66,58,54,62,26,https://drop-assets.ea.com/images/35tTZvfFMDawbbdlPaDA3q/efcd9dee1d887005c909dc280caab426/l111657.png,Frosinone,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p80597.webp,,Christian,80597,Comotto,Serie BKT,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/80597_en.webp,2,64,48,56,61,66,69,50,56,50,48,65,67,48,48,8,8,13,8,14,51,50,54,64,45,63,61,59,49,57,66,52,66,66,52,63,45,50,50,65,54,https://drop-assets.ea.com/images/2qrtNCwHo9a8wvFgWh83LD/5631884d4a82dedac2432e04b5259612/l113974.png,Spezia,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p189917.webp,,Frank,189917,Lehmann,Bundesliga 2,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/189917_en.webp,1,32,34,41,28,39,48,9,9,33,20,60,30,12,8,63,62,65,57,60,9,15,55,32,16,63,65,36,57,6,56,62,47,49,9,35,27,10,65,39,8,https://drop-assets.ea.com/images/72k9OuLJJMEyPfKbRGM9HF/5410d9a7186e29cecdf7dfb8d3316ec3/l580.png,SV Elversberg,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p209332.webp,,Mirko,209332,Salvi,Brack Super League,https://drop-assets.ea.com/images/4CseD8PxDZqObA1huFIws0/f30914625e329de69ffdd60f3c334a88/f_47.png,Switzerland,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/209332_en.webp,1,44,34,50,54,24,61,16,19,40,21,59,13,13,19,61,59,60,61,59,10,16,58,20,18,61,60,24,61,13,58,59,21,45,12,35,38,10,61,60,15,https://drop-assets.ea.com/images/3Pch82RlxKrcAbcxJRaXPd/5960afa4e37bb3f71de4ba619cebeaee/l896.png,FC Basel 1893,3
CDM|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p213686.webp,,Donald,213686,Love,EFL League Two,https://drop-assets.ea.com/images/3LfmKqyBykOGZyfdSpENTr/ec3733dfa9526c8f6da96bf0f8c7448e/f_42.png,Scotland,61,https://drop-assets.ea.com/images/51OlohNQvoEwW0aLhknAHh/58fa7d903d10f6d8cfa2622f62ba6b6f/Long_Throw.png,Long Throw,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/213686_en.webp,2,70,59,65,75,56,55,60,42,55,54,59,58,29,32,8,13,7,14,9,52,54,73,52,38,69,53,51,69,48,57,35,56,40,55,69,79,57,67,51,27,https://drop-assets.ea.com/images/600lHjS2SRGndegIUNqjOk/7eac8da2b96f0d62d17ec571e2fe4fe3/l110313.png,Accrington,3
LM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p243637.webp,,Reece,243637,Hutchinson,EFL League Two,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,https://drop-assets.ea.com/images/5ysv7Iw8jDHl7sp1JXqIa7/d34004fed8c95bde083dcf8257391a70/Intercept.png|https://drop-assets.ea.com/images/2vVuRxgvPNaAuFGqZZ9nDY/3e2505addd5a6b353becdeaf7173d187/Relentless.png,Intercept|Relentless,LB,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243637_en.webp,2,70,58,70,66,57,57,59,38,55,54,59,58,48,31,7,13,8,13,7,50,56,59,48,34,69,54,41,61,56,56,42,59,36,53,68,71,57,57,55,36,https://drop-assets.ea.com/images/7BeWodfG7PPK0GuxGfVsGZ/72bb00629deae2657f3c3158fa6b4f93/l121.png,Crewe Alexandra,2
CAM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p263135.webp,,Leonhard,263135,Münst,3. Liga,https://drop-assets.ea.com/images/6IIMMGk0Uj1rcZ6DSHTpLL/93f95b602dc62594104f418c8f80ebb3/f_21.png,Germany,61,,,CM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/263135_en.webp,2,55,53,56,64,60,54,52,52,54,51,61,62,52,54,6,6,13,9,15,57,56,61,64,49,54,61,47,57,59,63,53,67,64,51,54,52,55,61,61,42,https://drop-assets.ea.com/images/1eb4GZoBlkQmLM8kLjUvBl/2bfcd8492daff919b9a883f0a280f1d5/l110645.png,Viktoria Köln,3
RW,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p263186.webp,,Herman,263186,Sjögrell,Allsvenskan,https://drop-assets.ea.com/images/4ts7Tmr55hzylhHNBA5xsw/073e32f2c968ae9d531bb1d013a350a0/f_46.png,Sweden,61,,,RM,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/263186_en.webp,3,75,50,81,83,63,60,55,51,30,28,64,61,61,42,8,8,9,12,14,40,30,55,53,63,76,55,49,55,59,52,60,55,62,30,76,57,30,55,61,49,https://drop-assets.ea.com/images/1wCiF3WMMbK8LkSt8vbz75/68b0979dea68379cf713918903aff3c0/l113458.png,IK Sirius,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p269930.webp,,Gatlin,269930,O'Donkor,EFL Championship,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,,,ST,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/269930_en.webp,2,72,60,70,75,60,50,34,50,31,27,62,62,62,35,7,12,14,8,7,58,27,75,40,55,72,47,60,68,57,55,60,58,62,30,72,58,30,75,49,54,https://drop-assets.ea.com/images/3eeltV7S1s5TyCJbM4FhXN/af665b7031645d84f4e71926b4ee9c32/l1951.png,Oxford United,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p270217.webp,,Alessio,270217,Furlanetto,Serie A Enilive,https://drop-assets.ea.com/images/2WtjWPqYzT7xcMCbvajGZH/d06e9ec4734a0d43d88f65386cc3a484/f_27.png,Italy,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/270217_en.webp,1,37,22,40,27,12,31,14,16,39,12,65,14,9,12,63,60,58,55,65,12,14,54,28,8,63,58,15,55,8,51,60,31,44,13,43,29,14,57,35,8,https://drop-assets.ea.com/images/APtVhL3q3cFDG9pkum0Q4/cbfe542e327cc69c0890b8b5a189fad7/l115841.png,Latium,2
RW|RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p276942.webp,,Seb,276942,Palmer-Houlden,EFL League Two,https://drop-assets.ea.com/images/6ZM1OFXGUFeV0ZaYVKj2z/ae88ef17f8cb179fbc1c463f7e1e4bd8/f_14.png,England,61,,,ST,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/276942_en.webp,3,75,51,65,64,61,58,52,53,33,33,61,60,62,44,9,8,5,9,7,54,32,68,46,57,74,52,53,61,62,61,59,54,57,26,73,63,30,64,56,53,https://drop-assets.ea.com/images/6DlLiaK0h1veyS82ywPKdh/20034f8325126a53a713685e8c080dd7/l1802.png,Gillingham,3
RM|CM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p70191.webp,,Tibe,70191,De Vlieger,1A Pro League,https://drop-assets.ea.com/images/7eZLPoDDyxSlQoqcS4NVA2/6fc085dc7e85ccd7519be7ff2df875ee/f_7.png,Belgium,61,,,CAM,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/70191_en.webp,2,65,24,69,58,65,48,57,69,35,29,63,65,67,70,6,12,9,11,9,59,40,63,62,70,66,62,58,48,46,47,65,67,65,27,67,44,33,59,52,58,https://drop-assets.ea.com/images/6yyNmrjeahHfB0uWJP0pD/1531a54f512af00033f9dbe78c78c0bb/l674.png,KAA Gent,3
,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p71331.webp,,Denys,71331,Tvardovskyi,Ukrayina Liha,https://drop-assets.ea.com/images/6qDmsmOUdD4va3zMohbKhb/0074f5347b6d5908bf7c36de17f1e512/f_49.png,Ukraine,61,,,GK,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/71331_en.webp,1,42,25,33,27,16,41,14,10,41,11,61,10,13,13,60,57,61,59,61,14,14,67,30,12,60,61,15,59,12,62,57,35,46,14,39,25,14,76,43,12,https://drop-assets.ea.com/images/2boV5vckSWy81CHbJ0bNdO/bc02139a7497860e5af88f7a13c32523/l101059.png,Shakhtar Donetsk,3
RM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p73375.webp,,Ismael,73375,Bekhoucha,LALIGA EA SPORTS,https://drop-assets.ea.com/images/47SGeQ7STCrJZQSKOVJaHA/1aa24a57a60f85051e34a5ad8205771d/f_129.png,Morocco,61,,,RB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/73375_en.webp,2,72,67,69,71,60,48,54,46,55,53,60,59,32,38,9,5,9,10,14,49,56,60,47,35,73,50,42,62,54,58,39,55,53,55,73,67,57,58,44,36,https://drop-assets.ea.com/images/44YMNWepTyO6Bq40e9JFvy/a282461a849f13c104c8163cd2253e2a/l1860.png,Getafe CF,2
CDM,https://ratings-images-prod.pulse.ea.com/FC26/components/players/p73424.webp,,Cristian,73424,Licsandru,SUPERLIGA,https://drop-assets.ea.com/images/yJG6VRw2DHBpS1YBUe6XM/8251edf43104234bc25ece0a960006de/f_39.png,Romania,61,,,CB,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/73424_en.webp,2,61,58,58,59,55,44,48,46,61,62,54,52,40,45,12,8,13,10,8,57,60,69,55,40,63,54,45,66,48,58,41,58,43,59,64,57,62,74,56,38,https://drop-assets.ea.com/images/72vt49KHWLN6ItNQcltprs/b55156b6acee218890db1ab7613ea04b/l100757.png,FC Dinamo 1948,3
